Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-08-18;91,00;505,56;15,17;15,17;35,39;0,00;7,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;14,00;0,00;0,00;0,00;0,00
2019-08-25;40,00;230,00;0,00;20,00;15,00;0,00;7,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;13,00;0,00;7,00;7,00;0,00;0,00;7,00
2019-09-01;50,00;85,00;10,00;25,00;20,00;0,00;25,00;19,00;0,00;6,67;6,67;0,00;0,00;0,00;6,00;0,00;13,00;0,00;0,00;0,00;0,00
2019-09-08;43,00;64,50;0,00;21,50;5,38;12,00;18,00;6,00;0,00;0,00;0,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;68,00;62,77;0,00;5,23;10,46;0,00;0,00;12,00;0,00;0,00;6,80;0,00;13,60;0,00;6,00;6,00;12,00;6,00;0,00;0,00;0,00
2019-09-22;62,00;56,83;5,17;5,17;10,33;0,00;6,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00
2019-09-29;32,00;133,33;0,00;0,00;5,33;0,00;25,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-06;75,00;50,00;0,00;5,00;30,00;6,00;0,00;0,00;0,00;6,82;0,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-13;49,00;39,20;0,00;4,90;4,90;0,00;24,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00
2019-10-20;60,00;85,00;0,00;5,00;5,00;0,00;30,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;6,00;6,00;18,00;0,00;0,00;0,00;0,00
2019-10-27;31,00;82,67;10,33;5,17;10,33;6,00;0,00;0,00;0,00;6,89;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00
2019-11-03;18,00;40,50;9,00;4,50;9,00;0,00;6,00;6,00;0,00;7,20;0,00;0,00;0,00;0,00;0,00;6,00;12,00;0,00;0,00;0,00;0,00
2019-11-10;18,00;27,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;14,40;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-17;36,00;46,29;0,00;0,00;5,14;0,00;0,00;0,00;0,00;39,60;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00
2019-11-24;35,00;50,00;0,00;10,00;0,00;0,00;12,00;0,00;0,00;31,50;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00
2019-12-01;25,00;55,00;5,00;0,00;20,00;0,00;12,00;0,00;0,00;167,86;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00
2019-12-08;51,00;35,70;0,00;0,00;5,10;0,00;6,00;0,00;0,00;115,60;0,00;6,80;0,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00
2019-12-15;24,00;52,80;0,00;0,00;19,20;0,00;0,00;6,00;0,00;68,57;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00
2019-12-22;26,00;0,00;20,80;5,20;5,20;0,00;0,00;7,00;7,00;152,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-29;53,00;79,50;0,00;21,20;5,30;0,00;0,00;7,00;0,00;102,47;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-05;31,00;82,67;20,67;5,17;5,17;0,00;6,00;0,00;0,00;31,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00
2020-01-12;73,00;46,93;0,00;5,21;5,21;0,00;11,00;0,00;0,00;6,95;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-19;22,00;82,50;5,50;5,50;5,50;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00
2020-01-26;47,00;36,56;5,22;10,44;5,22;0,00;6,00;0,00;0,00;6,71;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;41,00;56,38;25,63;15,38;0,00;6,00;6,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00
2020-02-09;70,00;35,00;0,00;5,00;5,00;6,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-16;23,00;46,00;0,00;5,75;11,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-23;23,00;17,25;5,75;11,50;5,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-01;0,00;14,00;0,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
