Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2020-05-17;8,00;16,00;4,00;35,00;0,00;8,00;8,00;4,00;8,00
2020-05-24;20,00;8,42;11,58;15,79;4,21;0,00;0,00;8,00;12,00
2020-05-31;19,00;11,61;7,39;23,22;0,00;4,00;8,00;4,00;4,00
2020-06-07;27,00;27,00;7,27;42,58;0,00;0,00;4,00;8,00;0,00
2020-06-14;100,00;18,75;11,46;22,92;0,00;0,00;0,00;0,00;4,00
2020-06-21;12,00;8,00;8,00;47,00;0,00;4,00;0,00;4,00;0,00
2020-06-28;28,00;4,31;4,31;40,92;4,31;4,00;4,00;0,00;0,00
2020-07-05;20,00;16,00;4,00;27,00;0,00;0,00;4,00;8,00;0,00
2020-07-12;13,00;27,08;4,33;44,42;0,00;0,00;9,00;4,00;4,00
2020-07-19;13,00;13,00;8,00;21,00;0,00;0,00;0,00;0,00;0,00
2020-07-26;0,00;4,00;17,00;34,00;0,00;0,00;4,00;0,00;0,00
2020-08-02;9,00;4,50;0,00;51,75;0,00;9,00;4,00;4,00;4,00
2020-08-09;38,00;4,22;16,89;38,00;0,00;0,00;0,00;0,00;0,00
2020-08-16;26,00;8,32;12,48;26,00;4,16;0,00;4,00;0,00;0,00
2020-08-23;21,00;25,20;12,60;25,20;8,40;0,00;4,00;4,00;4,00
2020-08-30;13,00;13,00;4,33;30,33;4,33;0,00;0,00;4,00;4,00
2020-09-06;38,00;16,43;8,22;33,89;0,00;0,00;0,00;4,00;0,00
2020-09-13;8,00;8,00;16,00;24,00;0,00;0,00;0,00;0,00;0,00
2020-09-20;12,00;12,00;4,00;32,00;0,00;0,00;4,00;4,00;4,00
2020-09-27;25,00;20,83;4,17;34,38;0,00;0,00;4,00;0,00;9,00
2020-10-04;9,00;9,00;0,00;37,13;0,00;0,00;0,00;0,00;0,00
2020-10-11;4,00;0,00;4,00;30,00;0,00;0,00;0,00;4,00;9,00
2020-10-18;0,00;0,00;0,00;4,00;0,00;4,00;13,00;4,00;0,00
2020-10-25;17,00;17,00;4,25;39,31;0,00;0,00;13,00;0,00;4,00
2020-11-01;4,00;7,00;11,00;15,00;0,00;0,00;0,00;0,00;4,00
2020-11-08;30,00;8,57;4,29;21,43;0,00;0,00;9,00;0,00;0,00
2020-11-15;13,00;21,67;4,33;34,67;0,00;0,00;4,00;0,00;8,00
2020-11-22;13,00;13,00;13,00;8,67;0,00;0,00;0,00;4,00;0,00
2020-11-29;17,00;4,25;12,75;17,00;0,00;4,00;0,00;8,00;4,00
2020-12-06;4,00;20,00;4,00;31,00;0,00;0,00;4,00;8,00;0,00
2020-12-13;12,00;8,00;8,00;47,00;0,00;4,00;8,00;25,00;0,00
2020-12-20;19,00;14,78;9,50;48,56;0,00;0,00;0,00;5,00;5,00
2020-12-27;14,00;23,69;0,00;28,00;0,00;9,00;0,00;0,00;0,00
2021-01-03;12,00;16,00;20,00;35,00;4,00;12,00;8,00;4,00;0,00
2021-01-10;16,00;8,53;16,00;37,33;0,00;4,00;0,00;0,00;0,00
2021-01-17;24,00;15,65;11,48;39,65;0,00;0,00;4,00;4,00;0,00
2021-01-24;16,00;20,27;16,00;28,80;0,00;4,00;4,00;0,00;0,00
2021-01-31;16,00;8,53;12,80;44,80;0,00;8,00;0,00;0,00;8,00
2021-02-07;12,00;0,00;4,00;39,00;0,00;4,00;4,00;4,00;8,00
2021-02-14;37,00;21,14;4,23;8,46;0,00;0,00;8,00;0,00;0,00
2021-02-21;4,00;8,00;8,00;28,00;0,00;0,00;0,00;0,00;0,00
2021-02-28;20,00;8,42;4,21;24,21;4,21;4,00;0,00;4,00;0,00
2021-03-07;8,00;12,00;4,00;19,00;4,00;0,00;4,00;12,00;4,00
2021-03-14;19,00;4,22;4,22;26,39;0,00;0,00;8,00;0,00;4,00
2021-03-21;8,00;12,00;4,00;16,00;0,00;0,00;8,00;0,00;4,00
2021-03-28;4,00;0,00;9,00;22,00;0,00;0,00;5,00;0,00;5,00
2021-04-04;21,00;8,40;0,00;25,20;0,00;4,00;4,00;0,00;8,00
2021-04-11;28,00;11,41;15,56;8,30;4,15;0,00;20,00;12,00;4,00
2021-04-18;12,00;4,00;0,00;20,00;0,00;8,00;0,00;8,00;0,00
2021-04-25;24,00;8,35;8,35;12,52;0,00;0,00;0,00;0,00;0,00
2021-05-02;4,00;0,00;7,00;15,00;0,00;0,00;8,00;0,00;0,00
2021-05-09;4,00;8,00;0,00;16,00;4,00;4,00;4,00;0,00;0,00
2021-05-16;19,00;11,00;15,00;34,00;4,00;4,00;12,00;8,00;0,00
2021-05-23;21,00;12,60;16,80;37,80;4,20;8,00;0,00;4,00;0,00
2021-05-30;13,00;0,00;18,42;40,08;8,67;0,00;13,00;0,00;9,00
2021-06-06;12,00;8,00;16,00;16,00;8,00;8,00;4,00;13,00;0,00
2021-06-13;8,00;4,00;8,00;24,00;0,00;8,00;8,00;0,00;0,00
2021-06-20;17,00;25,50;8,50;60,56;0,00;4,00;25,00;8,00;0,00
2021-06-27;9,00;9,00;13,50;28,13;0,00;4,00;4,00;9,00;0,00
2021-07-04;48,00;4,17;12,52;8,35;0,00;0,00;9,00;4,00;9,00
2021-07-11;9,00;4,50;19,13;23,63;4,50;0,00;0,00;4,00;0,00
2021-07-18;14,00;23,69;19,38;29,08;0,00;0,00;9,00;0,00;0,00
2021-07-25;9,00;13,00;17,00;31,00;4,00;0,00;9,00;9,00;5,00
2021-08-01;18,00;4,24;13,76;55,06;0,00;0,00;0,00;0,00;0,00
2021-08-08;14,00;9,00;0,00;32,00;0,00;0,00;5,00;5,00;0,00
2021-08-15;32,00;13,42;9,29;36,13;0,00;0,00;5,00;9,00;9,00
2021-08-22;15,00;5,36;9,64;39,64;0,00;5,00;5,00;15,00;0,00
2021-08-29;14,00;23,00;5,00;50,00;0,00;0,00;5,00;5,00;0,00
2021-09-05;5,00;5,00;14,00;33,00;5,00;0,00;5,00;0,00;0,00
2021-09-12;0,00;9,00;9,00;36,00;5,00;5,00;0,00;5,00;0,00
2021-09-19;5,00;5,00;14,00;47,00;0,00;5,00;0,00;5,00;0,00
2021-09-26;5,00;33,75;11,25;27,50;0,00;0,00;0,00;0,00;0,00
2021-10-03;11,00;11,00;22,00;41,80;0,00;4,00;4,00;0,00;7,00
2021-10-10;13,00;25,00;19,00;41,00;0,00;0,00;7,00;3,00;7,00
2021-10-17;3,00;18,00;12,00;45,00;0,00;0,00;0,00;0,00;0,00
2021-10-24;19,00;12,67;6,33;39,06;0,00;3,00;10,00;10,00;3,00
2021-10-31;31,00;21,70;15,50;27,90;3,10;0,00;0,00;13,00;6,00
2021-11-07;12,00;24,00;21,00;36,00;3,00;0,00;0,00;3,00;3,00
2021-11-14;22,00;18,86;6,29;61,81;0,00;0,00;0,00;0,00;0,00
2021-11-21;18,00;42,35;14,82;27,53;0,00;0,00;0,00;0,00;0,00
2021-11-28;12,00;20,00;14,00;26,00;6,00;0,00;12,00;6,00;3,00
2021-12-05;16,00;22,40;12,80;76,80;3,20;3,00;3,00;9,00;6,00
2021-12-12;17,00;10,63;13,81;34,00;3,19;3,00;13,00;3,00;10,00
2021-12-19;8,00;24,00;20,00;59,00;4,00;0,00;4,00;0,00;4,00
2021-12-26;19,00;9,50;5,28;82,33;0,00;29,00;0,00;19,00;0,00
