Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2020-01-05;58,00;475,60;11,60;11,60;23,20;35,00;35,00;12,00;12,00;17,00;6,00;6,00;6,00
2020-01-12;23,00;483,00;11,50;11,50;23,00;34,00;17,00;34,00;6,00;11,00;0,00;11,00;6,00
2020-01-19;40,00;380,00;10,00;10,00;20,00;29,00;11,00;11,00;17,00;6,00;0,00;0,00;11,00
2020-01-26;23,00;414,00;11,50;23,00;23,00;23,00;12,00;35,00;0,00;6,00;6,00;0,00;0,00
2020-02-02;29,00;348,00;9,67;9,67;9,67;17,00;23,00;29,00;17,00;6,00;17,00;0,00;0,00
2020-02-09;45,00;450,00;22,50;45,00;33,75;34,00;34,00;11,00;0,00;11,00;0,00;0,00;0,00
2020-02-16;23,00;402,50;11,50;0,00;11,50;17,00;35,00;17,00;12,00;17,00;0,00;0,00;0,00
2020-02-23;45,00;438,75;11,25;11,25;33,75;23,00;6,00;28,00;11,00;11,00;0,00;0,00;0,00
2020-03-01;50,00;325,00;12,50;6,25;6,25;11,00;11,00;17,00;17,00;6,00;0,00;6,00;6,00
2020-03-08;53,00;360,40;0,00;5,30;5,30;11,00;5,00;21,00;5,00;0,00;0,00;0,00;0,00
2020-03-15;17,00;289,00;8,50;17,00;8,50;22,00;22,00;11,00;0,00;11,00;11,00;0,00;0,00
2020-03-22;0,00;9,00;0,00;0,50;0,00;16,00;0,00;5,00;5,00;5,00;0,00;0,00;0,00
2020-03-29;11,00;110,00;0,00;0,00;5,50;0,00;11,00;11,00;5,00;11,00;0,00;0,00;0,00
2020-04-05;11,00;44,00;0,00;5,50;0,00;0,00;6,00;17,00;0,00;0,00;6,00;0,00;0,00
2020-04-12;11,00;110,00;0,00;0,00;5,50;0,00;0,00;11,00;5,00;0,00;0,00;5,00;0,00
2020-04-19;27,00;121,50;6,75;13,50;6,75;0,00;0,00;0,00;11,00;5,00;0,00;11,00;0,00
2020-04-26;16,00;144,00;8,00;0,00;16,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2020-05-03;16,00;176,00;0,00;0,00;0,00;11,00;0,00;16,00;5,00;0,00;0,00;0,00;0,00
2020-05-10;16,00;192,00;0,00;16,00;8,00;26,00;0,00;5,00;11,00;0,00;0,00;0,00;0,00
2020-05-17;11,00;66,00;0,00;0,00;5,50;5,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00
2020-05-24;10,00;100,00;5,00;5,00;5,00;5,00;0,00;5,00;0,00;16,00;0,00;0,00;5,00
2020-05-31;15,00;180,00;0,00;0,00;7,50;10,00;0,00;15,00;20,00;15,00;0,00;10,00;0,00
2020-06-07;25,00;162,50;6,25;12,50;25,00;15,00;5,00;10,00;10,00;5,00;0,00;0,00;5,00
