Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2020-05-17;0,00;11,00;17,00;45,00;0,00;0,00;0,00;0,00;0,00
2020-05-24;14,00;61,60;44,80;44,80;14,00;0,00;14,00;0,00;0,00
2020-05-31;39,00;13,00;54,60;80,60;13,00;0,00;0,00;0,00;0,00
2020-06-07;26,00;0,00;13,00;78,00;0,00;0,00;0,00;0,00;0,00
2020-06-14;0,00;5,00;0,00;32,00;5,00;0,00;27,00;0,00;13,00
2020-06-21;42,00;96,35;54,35;81,53;0,00;14,00;0,00;14,00;14,00
2020-06-28;42,00;13,13;42,00;86,63;0,00;0,00;14,00;0,00;0,00
2020-07-05;15,00;57,50;42,50;57,50;0,00;0,00;29,00;0,00;0,00
2020-07-12;0,00;18,00;12,00;18,00;6,00;0,00;0,00;16,00;0,00
2020-07-19;16,00;85,33;85,33;104,00;0,00;0,00;0,00;0,00;0,00
2020-07-26;16,00;66,67;16,00;178,67;0,00;16,00;0,00;16,00;0,00
2020-08-02;46,00;46,00;30,67;61,33;0,00;0,00;0,00;15,00;0,00
2020-08-09;14,00;39,67;39,67;102,67;0,00;0,00;14,00;0,00;28,00
2020-08-16;29,00;73,82;29,00;89,64;0,00;15,00;0,00;0,00;0,00
2020-08-23;15,00;27,50;27,50;127,50;0,00;0,00;15,00;0,00;0,00
2020-08-30;15,00;70,00;15,00;127,50;0,00;0,00;0,00;0,00;0,00
2020-09-06;45,00;15,00;102,50;60,00;0,00;0,00;0,00;15,00;0,00
2020-09-13;15,00;30,00;15,00;205,00;15,00;0,00;15,00;15,00;0,00
2020-09-20;15,00;130,00;57,50;72,50;0,00;15,00;0,00;15,00;0,00
2020-09-27;0,00;29,00;17,00;23,00;0,00;0,00;0,00;15,00;0,00
2020-10-04;30,00;30,00;30,00;132,50;0,00;0,00;0,00;0,00;0,00
2020-10-11;16,00;66,67;50,67;232,00;0,00;0,00;0,00;16,00;0,00
2020-10-18;46,00;0,00;30,67;153,33;0,00;0,00;0,00;0,00;0,00
2020-10-25;15,00;0,00;30,00;175,00;0,00;15,00;0,00;0,00;0,00
2020-11-01;42,00;81,53;54,35;69,18;0,00;14,00;14,00;14,00;0,00
2020-11-08;0,00;23,00;0,00;12,00;0,00;0,00;0,00;15,00;0,00
2020-11-15;29,00;15,82;0,00;76,45;0,00;0,00;0,00;29,00;0,00
2020-11-22;58,00;42,87;27,74;116,00;0,00;0,00;15,00;15,00;15,00
2020-11-29;15,00;57,50;72,50;42,50;0,00;0,00;15,00;0,00;0,00
2020-12-06;15,00;87,50;72,50;175,00;0,00;0,00;0,00;0,00;0,00
2020-12-13;30,00;207,50;60,00;90,00;0,00;0,00;30,00;15,00;0,00
2020-12-20;32,00;165,33;66,67;197,33;16,00;0,00;32,00;16,00;16,00
2020-12-27;0,00;56,00;25,00;25,00;0,00;0,00;0,00;0,00;0,00
2021-01-03;15,00;160,00;190,00;72,50;0,00;15,00;0,00;15,00;15,00
2021-01-10;45,00;205,00;175,00;250,00;0,00;0,00;0,00;15,00;0,00
2021-01-17;15,00;130,00;100,00;85,00;0,00;29,00;0,00;29,00;0,00
2021-01-24;30,00;30,00;30,00;87,50;15,00;0,00;0,00;0,00;15,00
2021-01-31;15,00;87,50;42,50;87,50;0,00;0,00;15,00;0,00;0,00
2021-02-07;15,00;15,00;0,00;57,50;0,00;0,00;0,00;0,00;15,00
2021-02-14;15,00;30,00;60,00;75,00;0,00;15,00;0,00;0,00;0,00
2021-02-21;0,00;12,00;6,00;48,00;6,00;0,00;0,00;0,00;0,00
2021-02-28;45,00;0,00;60,00;75,00;0,00;0,00;30,00;0,00;0,00
2021-03-07;74,00;15,31;0,00;74,00;15,31;0,00;44,00;0,00;15,00
2021-03-14;29,00;73,82;44,82;44,82;0,00;0,00;14,00;0,00;0,00
2021-03-21;15,00;75,00;75,00;75,00;0,00;0,00;0,00;0,00;0,00
2021-03-28;32,00;32,00;50,67;117,33;0,00;0,00;16,00;16,00;0,00
2021-04-04;15,00;57,50;57,50;42,50;0,00;0,00;0,00;15,00;0,00
2021-04-11;30,00;30,00;0,00;72,50;0,00;0,00;0,00;0,00;0,00
2021-04-18;0,00;18,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00
2021-04-25;0,00;18,00;6,00;42,00;0,00;0,00;0,00;15,00;0,00
