Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-08-18;60,00;46,80;7,20;26,40;52,80;40,00;20,00;13,00;7,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-25;57,00;25,47;44,87;13,34;57,00;32,00;0,00;6,00;13,00;13,00;0,00;6,00;6,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00
2019-09-01;93,00;31,40;0,00;18,12;25,36;6,00;6,00;6,00;6,00;6,00;6,00;12,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-08;75,00;12,10;25,40;6,05;18,15;31,00;0,00;6,00;0,00;12,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;43,00;5,97;11,94;0,00;5,97;6,00;0,00;6,00;0,00;12,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-22;47,00;12,05;12,05;18,08;6,03;12,00;18,00;18,00;6,00;0,00;0,00;12,00;0,00;0,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00
2019-09-29;77,00;6,11;6,11;0,00;6,11;6,00;6,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-06;30,00;6,00;6,00;6,00;6,00;6,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-13;53,00;18,07;6,02;12,05;18,07;6,00;0,00;6,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-20;18,00;6,00;12,00;6,00;12,00;6,00;0,00;12,00;6,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-27;30,00;18,00;6,00;6,00;6,00;0,00;6,00;6,00;0,00;0,00;12,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;6,00;6,00;0,00
2019-11-03;17,00;0,00;12,14;6,07;12,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00
2019-11-10;41,00;0,00;6,03;0,00;0,00;12,00;12,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-17;41,00;0,00;6,03;6,03;6,03;12,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-24;23,00;10,89;6,05;6,05;23,00;6,00;17,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00
