Semaine;Réunion (RE);Mayotte (YT);Maurice (MU);Seychelles (SC);Zanzibar (TZ);Madagascar (MG)
2020-12-13;36,00;12,00;6,00;6,00;6,00;6,00
2020-12-20;74,00;12,00;12,00;6,00;6,00;0,00
2020-12-27;25,00;0,00;43,00;6,00;25,00;19,00
2021-01-03;29,00;0,00;29,00;23,00;0,00;12,00
2021-01-10;100,00;0,00;24,00;6,00;0,00;12,00
2021-01-17;34,00;0,00;29,00;12,00;12,00;12,00
2021-01-24;35,00;0,00;18,00;23,00;6,00;6,00
2021-01-31;35,00;6,00;6,00;6,00;0,00;12,00
2021-02-07;23,00;0,00;35,00;6,00;6,00;6,00
2021-02-14;30,00;0,00;18,00;12,00;0,00;0,00
2021-02-21;48,00;0,00;30,00;6,00;0,00;6,00
2021-02-28;30,00;12,00;24,00;6,00;6,00;0,00
2021-03-07;29,00;17,00;17,00;0,00;12,00;6,00
2021-03-14;17,00;6,00;28,00;6,00;11,00;0,00
2021-03-21;30,00;0,00;12,00;0,00;12,00;6,00
2021-03-28;44,00;6,00;13,00;0,00;13,00;6,00
2021-04-04;17,00;0,00;6,00;12,00;6,00;0,00
2021-04-11;29,00;0,00;18,00;35,00;6,00;6,00
2021-04-18;12,00;0,00;25,00;19,00;0,00;0,00
2021-04-25;42,00;0,00;18,00;0,00;12,00;0,00
2021-05-02;28,00;6,00;28,00;11,00;6,00;6,00
2021-05-09;36,00;6,00;24,00;24,00;18,00;0,00
2021-05-16;17,00;12,00;23,00;12,00;29,00;12,00
2021-05-23;36,00;6,00;49,00;12,00;12,00;6,00
2021-05-30;24,00;0,00;6,00;18,00;18,00;0,00
2021-06-06;24,00;6,00;30,00;24,00;6,00;6,00
2021-06-13;18,00;0,00;29,00;18,00;12,00;0,00
2021-06-20;18,00;6,00;42,00;24,00;6,00;6,00
2021-06-27;24,00;6,00;36,00;24,00;18,00;6,00
2021-07-04;32,00;6,00;32,00;13,00;13,00;0,00
2021-07-11;58,00;6,00;26,00;13,00;19,00;0,00
2021-07-18;36,00;0,00;37,00;22,00;29,00;0,00
2021-07-25;27,00;7,00;27,00;20,00;7,00;0,00
2021-08-01;33,00;7,00;40,00;13,00;0,00;7,00
2021-08-08;34,00;7,00;27,00;0,00;7,00;0,00
2021-08-15;52,00;0,00;52,00;13,00;0,00;13,00
2021-08-22;28,00;7,00;35,00;21,00;14,00;0,00
2021-08-29;42,00;0,00;35,00;14,00;14,00;0,00
2021-09-05;50,00;0,00;7,00;22,00;22,00;22,00
2021-09-12;21,00;0,00;56,00;0,00;0,00;35,00
2021-09-19;21,00;7,00;28,00;14,00;0,00;21,00
2021-09-26;34,00;7,00;41,00;41,00;0,00;7,00
2021-10-03;24,00;0,00;25,00;34,00;20,00;0,00
2021-10-10;36,00;4,00;45,00;27,00;18,00;18,00
2021-10-17;52,00;4,00;53,00;9,00;9,00;0,00
2021-10-24;18,00;0,00;40,00;31,00;13,00;9,00
2021-10-31;32,00;14,00;36,00;27,00;27,00;0,00
2021-11-07;27,00;4,00;36,00;23,00;23,00;4,00
2021-11-14;47,00;9,00;26,00;35,00;9,00;0,00
2021-11-21;54,00;0,00;38,00;29,00;34,00;0,00
2021-11-28;25,00;4,00;57,00;33,00;16,00;16,00
2021-12-05;17,00;4,00;35,00;9,00;0,00;0,00
2021-12-12;44,00;9,00;22,00;22,00;18,00;4,00
2021-12-19;25,00;0,00;36,00;41,00;5,00;0,00
2021-12-26;23,00;6,00;29,00;23,00;35,00;12,00
