Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-04-21;0,00;19,00;11,00;0,00;5,00;7,00;0,00;7,00;4,00;0,00;5,00;9,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;15,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;14,00;23,33;23,33;14,00;23,33;0,00;32,67;79,33;0,00;0,00;0,00;0,00;0,00;39,20;14,00;0,00;14,00;0,00;0,00;0,00;14,00;0,00;0,00;27,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;14,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00
2019-05-05;28,00;16,80;84,00;0,00;0,00;0,00;0,00;52,00;12,00;0,00;0,00;12,44;0,00;87,11;0,00;0,00;15,56;0,00;0,00;14,00;0,00;0,00;0,00;28,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;0,00;0,00;15,00;3,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;9,00;0,00;18,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;14,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;14,00;35,00;105,00;14,00;14,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;27,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;14,00;0,00;280,00;14,00;35,00;0,00;0,00;60,67;0,00;0,00;0,00;0,00;0,00;14,00;14,00;0,00;14,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;26,00;0,00;234,00;0,00;26,00;0,00;0,00;26,00;13,00;0,00;0,00;0,00;26,00;0,00;0,00;0,00;11,56;0,00;12,43;0,00;0,00;0,00;0,00;13,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;13,00;0,00;162,50;0,00;32,50;0,00;0,00;56,33;13,00;0,00;0,00;39,00;13,00;42,25;0,00;13,00;0,00;37,92;13,00;13,00;13,00;0,00;13,00;13,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;40,00;0,00;40,00;0,00;11,43;12,00;0,00;12,00;0,00;0,00;0,00;13,33;26,67;0,00;0,00;0,00;12,31;0,00;0,00;0,00;0,00;13,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;14,00;0,00;46,67;0,00;23,33;0,00;0,00;60,67;14,00;14,00;0,00;14,00;45,50;14,00;0,00;14,00;25,20;14,00;0,00;14,00;0,00;0,00;0,00;14,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
