Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-05-19;42,00;315,00;231,00;252,00;168,00;82,00;94,00;82,00;128,00;42,00;48,00;54,00;42,00;5,25;57,75;23,63;18,38;66,00;48,00;42,00;36,00;35,54;35,54;6,46;11,85;30,00;6,00;12,00;24,00;18,00;12,00;0,00;12,00;0,00;0,00;0,00
2019-05-26;30,00;225,00;135,00;120,00;150,00;100,00;112,00;94,00;54,00;42,00;61,50;24,00;36,00;24,55;79,09;30,00;43,64;42,00;30,00;30,00;18,00;41,79;11,79;18,21;23,57;30,00;24,00;12,00;6,00;24,00;36,00;6,00;6,00;6,00;0,00;6,00
2019-06-02;62,00;310,00;186,00;206,67;186,00;62,00;74,40;107,47;84,73;33,95;50,19;72,33;38,38;26,96;83,57;62,00;35,04;28,00;34,00;34,00;23,00;45,68;22,84;22,84;33,72;11,00;17,00;23,00;17,00;17,00;34,00;23,00;11,00;11,00;17,00;6,00
2019-06-09;65,00;276,25;211,25;211,25;113,75;119,52;83,87;48,23;83,87;71,05;46,86;65,00;77,09;35,21;75,83;0,00;16,25;88,00;47,00;35,00;29,00;53,98;12,12;35,25;12,12;41,00;18,00;35,00;12,00;18,00;6,00;6,00;18,00;12,00;18,00;0,00
2019-06-16;73,00;273,75;200,75;200,75;219,00;125,72;95,31;89,22;107,47;35,76;84,92;73,00;84,92;29,74;35,15;35,15;24,33;55,00;61,00;18,00;36,00;54,48;37,04;11,99;30,51;49,00;12,00;6,00;12,00;43,00;24,00;6,00;24,00;12,00;12,00;6,00
2019-06-23;26,00;338,00;182,00;364,00;260,00;108,00;90,00;102,00;64,00;37,56;37,56;57,78;63,56;13,00;31,20;13,00;31,20;53,00;39,00;26,00;66,00;65,00;13,00;13,00;32,50;33,00;26,00;7,00;33,00;7,00;7,00;20,00;7,00;7,00;0,00;7,00
2019-06-30;92,00;386,40;184,00;312,80;165,60;79,45;98,27;125,45;106,64;13,57;72,39;39,21;105,57;46,00;59,53;27,06;32,47;59,00;33,00;20,00;39,00;52,57;0,00;19,71;0,00;39,00;19,00;19,00;13,00;59,00;20,00;7,00;39,00;20,00;26,00;7,00
2019-07-07;84,00;336,00;235,20;285,60;117,60;90,15;127,02;90,15;96,29;51,00;19,50;45,00;70,50;37,94;37,94;37,94;46,06;38,00;26,00;45,00;38,00;70,91;38,18;13,09;38,18;45,00;6,00;19,00;6,00;32,00;26,00;26,00;38,00;13,00;6,00;13,00
2019-07-14;68,00;340,00;221,00;187,00;136,00;74,18;177,21;94,79;61,82;48,36;83,11;83,11;83,11;48,96;89,76;48,96;27,20;27,00;48,00;41,00;41,00;48,26;6,58;34,00;20,84;14,00;14,00;20,00;20,00;34,00;14,00;7,00;27,00;7,00;20,00;7,00
2019-07-21;100,00;440,00;200,00;200,00;200,00;77,55;112,24;140,82;126,53;20,90;149,25;56,72;113,43;29,73;78,38;35,14;21,62;28,00;28,00;43,00;78,00;78,26;35,87;0,00;56,52;14,00;14,00;7,00;28,00;28,00;21,00;14,00;14,00;0,00;29,00;7,00
