Semaine;London (GB);Paris (FR);Amsterdam (NL);Roma (IT);Lille (FR);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2021-01-31;12,00;16,50;3,00;19,20;1,20;4,80;4,00;5,00;3,00;8,00;0,50;3,00;4,00;2,00;2,00;7,00;1,00;3,00;1,00;1,00;2,00;0,50;1,00;0,00;0,50;1,00;0,00;0,00;0,50;0,50;1,00;0,00;0,00
2021-02-07;11,00;22,00;3,14;17,60;0,00;2,20;7,00;3,00;7,00;11,00;1,00;4,00;4,00;1,00;2,00;4,00;1,00;3,00;1,00;2,00;2,00;0,50;2,00;1,00;0,50;2,00;0,50;0,00;0,00;0,50;0,00;0,00;0,00
2021-02-14;11,00;27,50;5,50;19,80;0,00;4,40;6,00;9,00;3,00;8,00;1,00;5,00;5,00;1,00;2,00;3,00;0,00;3,00;2,00;1,00;3,00;1,00;2,00;1,00;0,50;2,00;1,00;1,00;1,00;0,00;1,00;0,50;0,00
2021-02-21;14,00;15,40;1,40;23,33;0,00;2,33;4,00;5,00;6,00;9,00;0,50;6,00;5,00;1,00;3,00;5,00;2,00;2,00;1,00;2,00;3,00;1,00;1,00;1,00;0,00;2,00;0,50;0,00;0,00;0,00;0,50;0,00;0,00
2021-02-28;13,00;20,22;5,78;19,50;1,08;2,17;5,00;5,00;5,00;14,00;1,00;6,00;3,00;0,50;2,00;4,00;1,00;7,00;2,00;2,00;3,00;1,00;2,00;1,00;0,50;2,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00
2021-03-07;12,00;25,50;1,50;16,80;1,20;2,40;5,00;5,00;5,00;7,00;1,00;6,00;3,00;2,00;0,00;2,00;2,00;4,00;2,00;2,00;5,00;1,00;1,00;1,00;1,00;3,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00
2021-03-14;10,00;15,71;1,43;17,50;1,25;2,50;5,00;7,00;5,00;7,00;1,00;2,00;2,00;0,50;1,00;4,00;0,50;2,00;1,00;2,00;1,00;1,00;2,00;1,00;1,00;2,00;2,00;0,50;1,00;0,50;1,00;0,00;0,00
2021-03-21;15,00;24,00;3,00;15,00;0,00;4,29;4,00;5,00;4,00;11,00;1,00;4,00;2,00;0,50;1,00;4,00;1,00;2,00;0,50;0,50;1,00;1,00;1,00;0,50;0,00;3,00;1,00;0,50;1,00;0,50;0,00;0,00;0,00
2021-03-28;15,00;22,50;4,50;17,14;0,00;4,29;4,00;5,00;4,00;13,00;0,50;2,00;3,00;0,00;2,00;5,00;4,00;2,00;2,00;3,00;3,00;1,00;1,00;1,00;0,00;2,00;0,50;0,00;0,00;0,00;1,00;0,00;0,00
2021-04-04;13,00;17,33;2,89;15,17;1,08;2,17;3,00;4,00;4,00;8,00;1,00;4,00;4,00;0,00;4,00;4,00;1,00;4,00;2,00;2,00;1,00;1,00;1,00;2,00;1,00;2,00;1,00;0,00;1,00;0,00;1,00;0,50;0,00
2021-04-11;13,00;17,33;1,44;15,17;1,08;2,17;3,00;4,00;7,00;9,00;0,50;3,00;4,00;1,00;3,00;2,00;1,00;1,00;1,00;1,00;3,00;0,50;1,00;1,00;0,50;0,50;1,00;0,00;0,00;0,00;2,00;0,00;0,00
2021-04-18;14,00;20,22;7,78;16,33;0,00;4,67;3,00;4,00;7,00;9,00;0,50;3,00;4,00;1,00;3,00;5,00;2,00;3,00;0,00;0,50;5,00;0,00;2,00;0,50;0,50;4,00;1,00;0,50;0,00;0,00;0,50;0,00;0,00
2021-04-25;10,00;25,71;2,86;20,00;0,00;4,00;3,00;8,00;6,00;10,00;2,00;4,00;3,00;0,50;2,00;3,00;1,00;2,00;1,00;3,00;1,00;1,00;0,00;1,00;0,00;1,00;1,00;0,50;2,00;0,50;2,00;0,00;0,00
2021-05-02;12,00;27,00;4,50;21,60;0,00;4,80;4,00;4,00;6,00;9,00;2,00;7,00;4,00;1,00;4,00;3,00;1,00;3,00;3,00;2,00;3,00;0,50;0,50;1,00;0,50;3,00;2,00;0,50;2,00;0,00;0,50;0,00;0,00
2021-05-09;17,00;24,08;4,25;242,86;1,21;7,29;3,00;7,00;6,00;6,00;1,00;7,00;2,00;1,00;3,00;9,00;2,00;3,00;2,00;4,00;3,00;0,50;3,00;1,00;0,50;2,00;2,00;0,50;1,00;0,00;0,50;0,50;0,00
2021-05-16;11,00;30,25;5,50;77,00;0,00;11,00;7,00;7,00;5,00;11,00;2,00;8,00;4,00;0,00;4,00;4,00;3,00;3,00;2,00;4,00;3,00;0,50;1,00;2,00;1,00;1,00;0,50;1,00;0,50;0,00;4,00;0,00;0,50
2021-05-23;25,00;30,88;5,88;31,82;1,14;6,82;4,00;6,00;5,00;12,00;2,00;11,00;5,00;1,00;2,00;4,00;3,00;4,00;3,00;4,00;2,00;1,00;1,00;2,00;0,00;3,00;1,00;1,00;1,00;1,00;1,00;0,00;0,50
2021-05-30;17,00;35,55;6,18;26,71;1,21;9,71;5,00;8,00;8,00;11,00;2,00;8,00;3,00;0,00;4,00;7,00;1,00;6,00;1,00;5,00;2,00;1,00;3,00;0,50;2,00;2,00;2,00;2,00;1,00;0,00;4,00;0,00;0,00
2021-06-06;15,00;34,50;7,50;27,86;0,00;10,71;5,00;6,00;8,00;10,00;2,00;7,00;7,00;1,00;5,00;3,00;3,00;4,00;4,00;3,00;4,00;3,00;3,00;2,00;0,00;1,00;3,00;1,00;2,00;0,00;1,00;0,00;0,00
2021-06-13;15,00;34,50;9,00;27,50;0,00;12,50;6,00;7,00;5,00;8,00;3,00;10,00;7,00;3,00;3,00;7,00;2,00;4,00;3,00;4,00;4,00;0,50;2,00;2,00;1,00;1,00;3,00;2,00;2,00;0,00;0,50;0,50;0,50
2021-06-20;16,00;33,45;8,73;29,71;1,14;6,86;5,00;8,00;10,00;16,00;8,00;13,00;8,00;0,50;7,00;7,00;3,00;7,00;2,00;4,00;3,00;2,00;3,00;1,00;0,00;2,00;1,00;3,00;1,00;0,50;0,00;0,00;0,50
2021-06-27;21,00;43,50;12,00;23,33;0,00;9,33;7,00;7,00;7,00;12,00;2,00;15,00;11,00;1,00;7,00;5,00;2,00;6,00;4,00;4,00;4,00;4,00;3,00;0,50;1,00;3,00;2,00;3,00;1,00;0,00;0,50;0,00;0,00
2021-07-04;16,00;39,27;10,18;36,57;2,29;11,43;8,00;7,00;9,00;14,00;4,00;8,00;7,00;3,00;7,00;12,00;4,00;4,00;4,00;5,00;6,00;2,00;5,00;2,00;0,50;3,00;1,00;1,00;2,00;0,00;0,50;0,00;0,50
2021-07-11;18,00;43,50;10,50;31,50;2,25;11,25;8,00;8,00;12,00;11,00;2,00;10,00;10,00;3,00;7,00;14,00;4,00;6,00;6,00;5,00;6,00;1,00;5,00;4,00;0,00;6,00;2,00;2,00;1,00;0,50;3,00;0,00;0,50
2021-07-18;17,00;35,42;7,08;27,63;0,00;8,50;8,00;12,00;10,00;18,00;2,00;11,00;6,00;3,00;4,00;12,00;2,00;7,00;6,00;3,00;3,00;2,00;3,00;2,00;1,00;1,00;2,00;1,00;3,00;0,50;2,00;0,00;0,00
2021-07-25;19,00;35,08;5,85;40,38;1,19;11,88;7,00;8,00;11,00;11,00;5,00;14,00;12,00;0,50;6,00;14,00;2,00;5,00;4,00;4,00;9,00;5,00;5,00;0,50;0,50;4,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00
2021-08-01;20,00;52,31;10,77;31,11;1,11;11,11;7,00;8,00;9,00;14,00;3,00;14,00;8,00;2,00;6,00;13,00;2,00;4,00;4,00;2,00;5,00;5,00;5,00;1,00;1,00;4,00;4,00;2,00;3,00;0,00;1,00;0,00;0,00
2021-08-08;27,00;75,32;15,63;49,50;2,25;13,50;10,00;15,00;13,00;18,00;5,00;13,00;7,00;3,00;3,00;15,00;3,00;8,00;7,00;5,00;4,00;3,00;6,00;5,00;1,00;3,00;5,00;2,00;5,00;0,50;0,50;0,50;0,50
2021-08-15;27,00;66,00;21,00;38,25;1,13;11,25;12,00;13,00;14,00;17,00;3,00;18,00;12,00;1,00;7,00;13,00;4,00;7,00;4,00;2,00;5,00;3,00;7,00;5,00;1,00;5,00;0,50;2,00;1,00;0,00;1,00;0,00;0,00
2021-08-22;28,00;60,42;16,21;51,33;2,33;11,67;11,00;12,00;17,00;12,00;10,00;15,00;15,00;0,00;3,00;20,00;4,00;7,00;4,00;7,00;5,00;2,00;5,00;4,00;0,00;4,00;4,00;3,00;1,00;1,00;0,50;0,00;0,00
2021-08-29;32,00;69,82;14,55;48,00;2,29;16,00;14,00;13,00;22,00;19,00;7,00;21,00;16,00;2,00;5,00;14,00;4,00;9,00;2,00;5,00;3,00;2,00;4,00;2,00;2,00;5,00;1,00;4,00;1,00;0,50;2,00;0,00;0,00
2021-09-05;36,00;69,12;20,16;45,00;2,25;11,25;13,00;9,00;16,00;15,00;6,00;20,00;15,00;3,00;4,00;12,00;2,00;6,00;3,00;7,00;6,00;3,00;5,00;3,00;2,00;4,00;5,00;3,00;2,00;0,00;1,00;0,00;0,00
2021-09-12;36,00;70,50;15,00;63,00;1,13;15,75;13,00;12,00;19,00;13,00;5,00;15,00;12,00;4,00;4,00;17,00;3,00;8,00;4,00;3,00;7,00;3,00;5,00;3,00;1,00;3,00;3,00;2,00;0,50;0,00;2,00;0,00;0,50
2021-09-19;49,00;71,27;22,27;37,86;1,11;11,14;16,00;17,00;20,00;13,00;6,00;13,00;11,00;4,00;2,00;20,00;3,00;12,00;1,00;5,00;7,00;1,00;4,00;3,00;0,50;4,00;3,00;2,00;1,00;0,50;1,00;0,00;0,50
2021-09-26;31,00;78,24;19,19;55,36;1,11;13,29;16,00;18,00;16,00;12,00;7,00;18,00;19,00;4,00;5,00;15,00;2,00;8,00;4,00;6,00;6,00;2,00;7,00;5,00;0,50;4,00;2,00;2,00;1,00;0,00;2,00;0,00;0,00
2021-10-03;46,00;60,84;17,81;48,30;1,15;18,40;19,00;14,00;19,00;19,00;15,00;19,00;15,00;2,00;3,00;17,00;1,00;9,00;1,00;4,00;5,00;2,00;4,00;1,00;1,00;3,00;2,00;1,00;1,00;0,00;0,00;0,00;0,00
2021-10-10;40,00;66,67;14,81;48,89;1,11;13,33;23,00;15,00;13,00;21,00;13,00;18,00;22,00;3,00;2,00;15,00;1,00;8,00;1,00;4,00;4,00;3,00;5,00;1,00;1,00;2,00;2,00;1,00;2,00;2,00;1,00;0,00;0,00
2021-10-17;39,00;60,00;15,00;43,59;1,15;16,06;22,00;13,00;15,00;19,00;17,00;15,00;16,00;3,00;4,00;12,00;3,00;8,00;1,00;5,00;7,00;3,00;6,00;2,00;2,00;3,00;3,00;1,00;0,00;0,00;2,00;0,50;0,00
2021-10-24;31,00;57,57;13,29;47,69;1,19;14,31;15,00;14,00;12,00;16,00;8,00;17,00;39,00;2,00;4,00;12,00;3,00;10,00;3,00;5,00;6,00;2,00;4,00;3,00;0,00;4,00;1,00;0,00;1,00;0,00;1,00;0,00;0,50
2021-10-31;39,00;76,50;13,50;48,18;1,15;13,76;22,00;13,00;15,00;28,00;15,00;20,00;19,00;6,00;3,00;13,00;2,00;7,00;4,00;4,00;4,00;2,00;2,00;2,00;0,50;4,00;2,00;1,00;1,00;0,50;1,00;0,00;0,50
2021-11-07;37,00;54,76;13,32;43,94;1,16;13,88;20,00;13,00;16,00;21,00;15,00;15,00;19,00;7,00;4,00;11,00;2,00;6,00;3,00;3,00;11,00;3,00;3,00;2,00;2,00;2,00;2,00;1,00;0,50;0,50;1,00;0,00;0,00
2021-11-14;43,00;51,90;11,86;38,47;0,00;13,58;20,00;10,00;17,00;21,00;17,00;15,00;14,00;4,00;3,00;14,00;1,00;7,00;2,00;4,00;2,00;4,00;4,00;3,00;1,00;4,00;2,00;1,00;1,00;0,00;0,50;0,50;0,50
2021-11-21;34,00;50,26;5,91;36,27;0,00;13,60;18,00;10,00;14,00;15,00;13,00;14,00;14,00;3,00;3,00;7,00;1,00;4,00;2,00;5,00;3,00;3,00;2,00;3,00;0,00;1,00;3,00;1,00;2,00;0,50;0,50;0,00;0,00
2021-11-28;35,00;52,50;7,29;28,44;1,09;10,94;19,00;9,00;13,00;17,00;13,00;9,00;8,00;4,00;1,00;10,00;2,00;5,00;2,00;2,00;6,00;2,00;5,00;4,00;1,00;1,00;2,00;0,50;1,00;0,00;0,50;0,00;0,00
2021-12-05;29,00;43,50;10,15;37,92;0,00;8,92;14,00;10,00;11,00;19,00;16,00;17,00;10,00;5,00;1,00;9,00;2,00;7,00;1,00;6,00;7,00;3,00;3,00;2,00;0,00;3,00;2,00;1,00;0,00;1,00;0,50;0,50;0,50
2021-12-12;25,00;35,29;4,41;31,82;0,00;9,09;15,00;7,00;11,00;12,00;13,00;8,00;11,00;2,00;3,00;9,00;2,00;5,00;4,00;3,00;3,00;1,00;4,00;3,00;0,50;0,50;0,50;1,00;0,50;0,50;1,00;0,00;0,50
2021-12-19;20,00;33,85;6,15;17,78;0,00;6,67;11,00;8,00;8,00;14,00;10,00;8,00;8,00;1,00;2,00;9,00;3,00;3,00;0,50;5,00;5,00;2,00;2,00;2,00;0,50;3,00;2,00;1,00;1,00;0,50;0,00;0,00;0,50
2021-12-26;26,00;48,94;4,59;26,00;0,00;9,45;15,00;8,00;12,00;17,00;14,00;9,00;17,00;1,00;1,00;5,00;2,00;5,00;2,00;1,00;3,00;1,00;3,00;2,00;1,00;3,00;2,00;0,00;0,50;0,00;3,00;0,00;0,00
