Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Marseille (FR);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2021-04-11;6,00;90,00;102,00;24,00;78,00;63,00;0,00;48,00;27,00;54,00;24,00;168,00;6,00;96,00;84,00;24,00;54,00;48,00;3,00;6,00;10,50;7,50;6,00;15,00;3,00;9,00;3,00;0,00;9,00;3,00;3,00;0,00
2021-04-18;12,00;120,00;180,00;72,00;168,00;64,00;4,00;80,00;28,00;30,00;42,00;144,00;12,00;108,00;48,00;12,00;42,00;51,00;6,00;8,57;15,43;8,57;6,00;15,00;3,00;3,00;3,00;9,00;3,00;12,00;0,00;3,00
2021-04-25;18,00;126,00;126,00;45,00;108,00;72,00;3,60;82,80;54,00;36,00;42,00;138,00;18,00;108,00;108,00;54,00;63,00;45,00;3,00;8,18;21,27;8,18;6,00;12,00;3,00;3,00;6,00;0,00;0,00;12,00;3,00;0,00
2021-05-02;20,00;140,00;130,00;100,00;160,00;88,00;0,00;104,00;48,00;33,33;66,67;206,67;10,00;80,00;80,00;40,00;51,43;37,14;5,71;11,67;23,33;20,00;3,00;9,00;9,00;3,00;6,00;6,00;0,00;0,00;0,00;0,00
2021-05-09;36,00;132,00;168,00;144,00;240,00;108,00;0,00;198,00;61,20;48,00;72,00;168,00;36,00;144,00;132,00;60,00;66,46;49,85;13,85;15,43;24,00;12,00;6,00;9,00;3,00;6,00;12,00;0,00;3,00;6,00;0,00;0,00
2021-05-16;29,00;145,00;106,33;145,00;232,00;188,50;0,00;87,00;87,00;52,20;63,80;243,60;29,00;290,00;203,00;72,50;55,10;63,80;11,60;3,41;25,59;20,47;9,00;17,00;9,00;0,00;9,00;0,00;3,00;20,00;0,00;3,00
2021-05-23;27,00;171,00;72,00;117,00;198,00;165,86;3,86;84,86;108,00;70,20;113,40;275,40;27,00;364,50;216,00;94,50;67,50;27,00;0,00;21,94;43,88;15,19;15,00;30,00;0,00;6,00;12,00;3,00;6,00;18,00;0,00;0,00
2021-05-30;41,00;205,00;133,25;174,25;256,25;145,36;0,00;78,27;85,73;93,71;93,71;304,57;27,33;328,00;259,67;123,00;62,87;49,20;0,00;24,60;27,88;34,44;10,00;10,00;3,00;10,00;10,00;10,00;6,00;26,00;10,00;0,00
2021-06-06;37,00;271,33;172,67;296,00;394,67;188,70;7,40;92,50;85,10;80,17;111,00;339,17;24,67;370,00;148,00;86,33;85,38;42,69;2,85;30,27;52,14;68,95;21,00;31,00;6,00;6,00;9,00;9,00;0,00;9,00;0,00;3,00
2021-06-13;44,00;242,00;132,00;242,00;341,00;183,33;0,00;91,67;172,33;82,50;88,00;308,00;29,33;308,00;264,00;88,00;102,67;41,07;26,40;35,54;32,15;37,23;9,00;19,00;3,00;6,00;9,00;6,00;6,00;12,00;3,00;0,00
2021-06-20;50,00;350,00;160,00;280,00;380,00;165,38;0,00;111,54;88,46;94,44;111,11;311,11;37,50;350,00;225,00;100,00;91,67;58,33;19,44;56,67;35,00;46,67;12,00;9,00;3,00;9,00;6,00;16,00;6,00;19,00;6,00;0,00
2021-06-27;41,00;358,75;174,25;297,25;430,50;197,55;7,45;100,64;44,73;134,71;99,57;451,00;54,67;328,00;273,33;136,67;98,40;49,20;24,60;37,72;52,48;65,60;19,00;13,00;3,00;16,00;6,00;3,00;0,00;13,00;3,00;0,00
2021-07-04;42,00;378,00;157,50;441,00;409,50;229,09;3,82;126,00;53,45;156,00;168,00;432,00;56,00;434,00;252,00;126,00;106,40;50,40;14,00;48,72;63,84;35,28;26,00;19,00;3,00;10,00;22,00;6,00;13,00;22,00;10,00;0,00
2021-07-11;42,00;399,00;157,50;325,50;315,00;229,09;3,82;95,45;45,82;126,00;132,00;378,00;56,00;546,00;280,00;182,00;98,00;50,40;14,00;38,64;84,00;75,60;29,00;23,00;13,00;6,00;26,00;10,00;10,00;3,00;0,00;3,00
2021-07-18;48,00;396,00;180,00;252,00;348,00;221,54;0,00;70,15;62,77;192,00;108,00;366,00;48,00;384,00;240,00;192,00;59,29;53,65;16,94;28,14;51,31;54,62;17,00;21,00;0,00;3,00;10,00;3,00;14,00;17,00;3,00;0,00
2021-07-25;54,00;388,80;151,20;205,20;356,40;173,57;0,00;131,14;84,86;186,00;114,00;432,00;40,50;445,50;310,50;162,00;122,21;68,21;31,26;37,13;57,38;54,00;24,00;44,00;7,00;13,00;3,00;3,00;0,00;20,00;7,00;3,00
2021-08-01;74,00;422,86;179,71;190,29;264,29;210,90;3,70;99,90;70,30;204,92;108,15;335,85;74,00;481,00;296,00;135,67;165,08;74,00;19,92;40,36;80,73;47,09;17,00;30,00;3,00;10,00;3,00;7,00;17,00;0,00;0,00;0,00
2021-08-08;32,00;469,33;160,00;266,67;266,67;209,78;3,56;60,44;71,11;128,00;106,67;320,00;64,00;405,33;298,67;96,00;130,91;58,18;17,45;57,26;85,89;57,26;18,00;46,00;4,00;21,00;11,00;7,00;0,00;18,00;0,00;7,00
2021-08-15;37,00;444,00;185,00;283,67;407,00;173,90;7,40;96,20;55,50;169,14;89,86;306,57;24,67;407,00;283,67;172,67;88,23;74,00;17,08;33,64;89,14;68,95;20,00;20,00;7,00;3,00;3,00;14,00;14,00;10,00;3,00;7,00
2021-08-22;32,00;394,67;224,00;330,67;384,00;202,67;0,00;88,89;60,44;165,33;117,33;346,67;42,67;384,00;266,67;106,67;98,91;81,45;17,45;32,00;94,32;65,68;11,00;22,00;11,00;22,00;11,00;7,00;7,00;22,00;7,00;0,00
2021-08-29;39,00;321,75;214,50;263,25;321,75;187,20;11,70;113,10;113,10;139,29;94,71;378,86;52,00;403,00;312,00;156,00;80,79;69,64;16,71;22,04;78,00;42,39;11,00;32,00;7,00;11,00;11,00;4,00;4,00;35,00;4,00;0,00
2021-09-05;40,00;390,00;250,00;240,00;300,00;243,64;0,00;134,55;116,36;182,86;108,57;365,71;66,67;466,67;346,67;133,33;97,14;80,00;14,29;36,67;90,00;50,00;14,00;43,00;4,00;7,00;4,00;4,00;0,00;25,00;0,00;7,00
2021-09-12;49,00;519,40;245,00;254,80;362,60;275,15;7,54;94,23;120,62;136,11;98,00;364,78;49,00;392,00;318,50;171,50;77,82;80,71;14,41;16,90;84,48;64,21;10,00;38,00;7,00;14,00;10,00;7,00;3,00;3,00;3,00;3,00
2021-09-19;54,00;637,20;302,40;334,80;442,80;237,60;3,60;111,60;118,80;174,00;156,00;354,00;67,50;310,50;297,00;189,00;96,63;116,53;11,37;37,13;62,44;54,00;11,00;18,00;14,00;7,00;7,00;0,00;7,00;18,00;7,00;11,00
2021-09-26;24,00;732,00;288,00;336,00;456,00;248,00;4,00;144,00;132,00;198,00;126,00;378,00;36,00;288,00;336,00;156,00;77,33;42,67;16,00;20,57;82,29;46,29;7,00;10,00;7,00;7,00;7,00;10,00;3,00;10,00;0,00;0,00
2021-10-03;50,00;470,00;240,00;330,00;280,00;288,46;3,85;153,85;203,85;300,00;127,78;400,00;112,50;325,00;262,50;125,00;105,56;97,22;11,11;13,33;73,33;55,00;21,00;18,00;13,00;5,00;3,00;3,00;5,00;18,00;11,00;0,00
2021-10-10;58,00;556,80;220,40;382,80;290,00;210,25;10,88;152,25;192,13;336,40;121,80;388,60;116,00;255,20;255,20;150,80;153,70;113,10;8,70;28,17;76,23;48,06;14,00;14,00;7,00;12,00;7,00;0,00;5,00;12,00;2,00;0,00
2021-10-17;39,00;341,25;195,00;253,50;273,00;209,18;7,09;120,55;209,18;345,43;111,43;339,86;130,00;260,00;260,00;130,00;91,93;117,00;8,36;13,57;52,57;49,17;18,00;18,00;14,00;2,00;2,00;5,00;5,00;2,00;2,00;0,00
2021-10-24;40,00;420,00;240,00;240,00;250,00;200,00;3,64;109,09;145,45;331,43;97,14;285,71;106,67;226,67;346,67;160,00;91,43;105,71;14,29;26,67;53,33;41,67;5,00;16,00;7,00;14,00;9,00;5,00;2,00;9,00;2,00;0,00
2021-10-31;35,00;373,33;268,33;245,00;256,67;221,67;3,89;116,67;167,22;320,83;93,33;285,83;128,33;291,67;233,33;175,00;84,58;90,42;8,75;10,00;28,33;25,00;5,00;23,00;9,00;2,00;11,00;5,00;5,00;14,00;2,00;5,00
2021-11-07;9,00;261,00;135,00;144,00;189,00;225,00;4,50;108,00;193,50;184,50;76,50;211,50;72,00;135,00;117,00;81,00;90,00;108,00;12,00;18,00;41,40;19,80;2,00;23,00;9,00;5,00;2,00;0,00;5,00;16,00;0,00;0,00
2021-11-14;25,00;312,50;262,50;150,00;225,00;114,29;3,57;96,43;146,43;200,00;100,00;287,50;87,50;162,50;175,00;87,50;63,89;80,56;11,11;20,00;58,33;43,33;7,00;11,00;7,00;5,00;5,00;5,00;2,00;9,00;0,00;0,00
2021-11-21;22,00;242,00;165,00;88,00;176,00;117,33;0,00;143,00;154,00;137,50;82,50;264,00;66,00;110,00;88,00;77,00;60,50;66,00;8,25;5,08;40,62;33,85;4,00;20,00;9,00;7,00;9,00;7,00;2,00;11,00;2,00;2,00
2021-11-28;11,00;264,00;176,00;66,00;176,00;91,67;0,00;84,33;124,67;137,50;66,00;275,00;55,00;110,00;77,00;99,00;46,75;55,00;8,25;6,29;48,71;17,29;9,00;9,00;4,00;0,00;2,00;0,00;2,00;13,00;0,00;0,00
2021-12-05;23,00;287,50;172,50;69,00;241,50;107,33;0,00;69,00;95,83;161,00;80,50;253,00;80,50;161,00;57,50;80,50;40,25;80,50;14,38;13,14;34,50;24,64;11,00;18,00;7,00;9,00;5,00;5,00;43,00;7,00;2,00;0,00
2021-12-12;52,00;280,80;197,60;104,00;208,00;130,00;0,00;81,71;107,71;196,44;80,89;387,11;91,00;104,00;117,00;156,00;69,33;78,00;8,67;6,71;40,26;26,84;7,00;12,00;2,00;2,00;0,00;0,00;0,00;5,00;5,00;0,00
2021-12-19;33,00;363,00;165,00;121,00;198,00;110,00;0,00;110,00;154,00;220,00;77,00;418,00;77,00;88,00;132,00;143,00;88,00;85,25;13,75;29,70;39,60;41,25;6,00;21,00;9,00;12,00;0,00;3,00;0,00;9,00;0,00;0,00
2021-12-26;39,00;360,75;136,50;87,75;214,50;198,90;0,00;101,40;175,50;289,71;117,00;401,14;104,00;260,00;143,00;104,00;75,21;66,86;11,14;25,43;74,61;25,43;14,00;18,00;4,00;0,00;11,00;0,00;4,00;21,00;7,00;4,00
