Semaine;Polynesie (PF);Nouvelle Caledonie (NC);Fidji (FJ);Vanuatu (VU);Iles Cook (CK)
2021-03-28;4,00;5,00;14,00;5,00;5,00
2021-04-04;21,00;8,00;8,00;4,00;0,00
2021-04-11;28,00;4,00;8,00;0,00;4,00
2021-04-18;12,00;0,00;16,00;12,00;4,00
2021-04-25;24,00;0,00;12,00;0,00;0,00
2021-05-02;4,00;0,00;12,00;0,00;4,00
2021-05-09;4,00;0,00;28,00;0,00;4,00
2021-05-16;19,00;0,00;8,00;0,00;0,00
2021-05-23;21,00;0,00;17,00;0,00;0,00
2021-05-30;13,00;9,00;17,00;4,00;0,00
2021-06-06;12,00;0,00;4,00;0,00;0,00
2021-06-13;8,00;0,00;4,00;0,00;4,00
2021-06-20;17,00;0,00;8,00;0,00;0,00
2021-06-27;9,00;0,00;13,00;4,00;4,00
2021-07-04;48,00;9,00;9,00;0,00;0,00
2021-07-11;9,00;0,00;13,00;9,00;4,00
2021-07-18;14,00;0,00;14,00;5,00;5,00
2021-07-25;9,00;5,00;46,00;9,00;5,00
2021-08-01;18,00;0,00;18,00;5,00;0,00
2021-08-08;14,00;0,00;24,00;0,00;5,00
2021-08-15;32,00;9,00;14,00;5,00;0,00
2021-08-22;15,00;0,00;0,00;0,00;0,00
2021-08-29;14,00;0,00;5,00;0,00;0,00
2021-09-05;5,00;0,00;20,00;0,00;0,00
2021-09-12;0,00;0,00;19,00;0,00;5,00
2021-09-19;5,00;0,00;10,00;0,00;0,00
2021-09-26;5,00;0,00;19,00;0,00;0,00
2021-10-03;11,00;7,00;7,00;0,00;4,00
2021-10-10;13,00;7,00;3,00;7,00;3,00
2021-10-17;3,00;0,00;13,00;0,00;3,00
2021-10-24;19,00;3,00;16,00;0,00;3,00
2021-10-31;31,00;6,00;3,00;0,00;3,00
2021-11-07;12,00;3,00;19,00;3,00;0,00
2021-11-14;22,00;0,00;25,00;0,00;12,00
2021-11-21;18,00;0,00;3,00;0,00;0,00
2021-11-28;12,00;3,00;12,00;0,00;0,00
2021-12-05;16,00;6,00;22,00;3,00;3,00
2021-12-12;17,00;10,00;17,00;3,00;3,00
2021-12-19;8,00;4,00;12,00;0,00;0,00
2021-12-26;19,00;0,00;5,00;0,00;5,00
