Disney;BE;CH;DE;ES;FR;IT;NL;UK;US
2020-05-31;14,00;5,00;7,00;9,00;20,00;6,00;16,00;11,00;1,00
2020-06-07;18,00;9,00;7,00;8,00;22,00;5,00;17,00;12,00;1,00
2020-06-14;15,00;3,00;8,00;7,00;26,00;2,00;17,00;12,00;1,00
2020-06-21;39,00;5,00;10,00;10,00;32,00;5,00;17,00;16,00;1,00
2020-06-28;27,00;11,00;10,00;8,00;29,00;5,00;21,00;18,00;1,00
2020-07-05;34,00;7,00;10,00;7,00;30,00;3,00;24,00;15,00;1,00
2020-07-12;47,00;7,00;15,00;13,00;44,00;7,00;29,00;16,00;1,00
2020-07-19;30,00;9,00;12,00;7,00;34,00;5,00;28,00;19,00;1,00
2020-07-26;40,00;8,00;12,00;11,00;37,00;5,00;22,00;15,00;1,00
2020-08-02;26,00;6,00;10,00;9,00;40,00;4,00;24,00;12,00;1,00
2020-08-09;31,00;3,00;9,00;10,00;44,00;5,00;15,00;13,00;1,00
2020-08-16;38,00;5,00;10,00;11,00;37,00;4,00;16,00;12,00;1,00
2020-08-23;46,00;7,00;8,00;10,00;35,00;5,00;20,00;10,00;1,00
2020-08-30;35,00;3,00;5,00;8,00;31,00;4,00;13,00;10,00;1,00
2020-09-06;42,00;16,00;5,00;9,00;33,00;4,00;13,00;11,00;1,00
2020-09-13;14,00;6,00;5,00;7,00;30,00;4,00;16,00;12,00;1,00
2020-09-20;15,00;2,00;4,00;9,00;37,00;3,00;8,00;7,00;1,00
2020-09-27;24,00;3,00;4,00;8,00;39,00;2,00;10,00;7,00;1,00
2020-10-04;31,00;6,00;5,00;9,00;50,00;3,00;17,00;8,00;1,00
2020-10-11;20,00;4,00;4,00;10,00;49,00;3,00;9,00;6,00;1,00
2020-10-18;19,00;0,00;4,00;8,00;52,00;2,00;9,00;6,00;1,00
2020-10-25;13,00;7,00;4,00;7,00;39,00;3,00;7,00;6,00;1,00
2020-11-01;7,00;6,00;2,00;6,00;36,00;1,00;7,00;5,00;1,00
2020-11-08;11,00;4,00;3,00;7,00;15,00;4,00;8,00;7,00;1,00
2020-11-15;12,00;5,00;3,00;8,00;14,00;3,00;11,00;6,00;1,00
2020-11-22;11,00;2,00;4,00;6,00;17,00;2,00;5,00;7,00;1,00
2020-11-29;13,00;3,00;2,00;7,00;15,00;3,00;8,00;6,00;1,00
2020-12-06;11,00;3,00;3,00;7,00;15,00;4,00;7,00;6,00;1,00
2020-12-13;6,00;1,00;3,00;4,00;15,00;3,00;6,00;7,00;1,00
2020-12-20;13,00;3,00;2,00;5,00;18,00;2,00;3,00;6,00;1,00
2020-12-27;16,00;4,00;4,00;8,00;16,00;4,00;4,00;12,00;0,50
2021-01-03;12,00;5,00;4,00;5,00;14,00;4,00;11,00;9,00;1,00
2021-01-10;10,00;5,00;3,00;5,00;9,00;3,00;10,00;7,00;1,00
2021-01-17;10,00;1,00;3,00;6,00;17,00;2,00;4,00;9,00;1,00
2021-01-24;12,00;0,00;2,00;6,00;9,00;3,00;7,00;7,00;1,00
2021-01-31;17,00;1,00;2,00;5,00;8,00;2,00;4,00;6,00;1,00
2021-02-07;14,00;6,00;4,00;5,00;10,00;4,00;4,00;8,00;1,00
2021-02-14;14,00;5,00;3,00;7,00;11,00;3,00;4,00;8,00;1,00
2021-02-21;11,00;5,00;3,00;9,00;15,00;1,00;9,00;10,00;1,00
