Chambres_hotes;FR;BE;CH;DE;ES;IT;NL;GB;US
2020-05-31;38,00;54,00;25,00;8,00;3,00;97,11;50,67;29,56;12,67
2020-06-07;41,00;53,00;27,00;10,00;3,00;118,90;61,50;28,70;16,40
2020-06-14;46,00;76,00;34,00;7,00;7,00;146,36;66,91;33,45;16,73
2020-06-21;47,00;70,00;36,00;9,00;4,00;180,17;54,83;47,00;15,67
2020-06-28;52,00;89,00;43,00;11,00;4,00;228,00;68,00;44,00;16,00
2020-07-05;62,00;79,00;49,00;11,00;4,00;252,13;78,53;53,73;12,40
2020-07-12;68,00;96,00;38,00;10,00;4,00;248,00;76,00;60,00;16,00
2020-07-19;57,00;89,00;49,00;11,00;5,00;301,29;77,36;77,36;16,29
2020-07-26;65,00;71,00;27,00;9,00;5,00;296,56;89,38;81,25;16,25
2020-08-02;77,00;75,00;29,00;10,00;7,00;332,32;64,84;81,05;16,21
2020-08-09;71,00;79,00;35,00;8,00;7,00;374,72;43,39;74,94;15,78
2020-08-16;52,00;67,00;33,00;10,00;3,00;308,00;64,00;72,00;16,00
2020-08-23;44,00;54,00;32,00;9,00;6,00;188,00;52,00;72,00;16,00
2020-08-30;38,00;53,00;18,00;10,00;2,00;164,67;63,33;71,78;16,89
2020-09-06;38,00;70,00;26,00;12,00;3,00;130,89;84,44;63,33;16,89
2020-09-13;30,00;44,00;24,00;7,00;2,00;101,25;60,00;56,25;15,00
2020-09-20;26,00;42,00;30,00;6,00;4,00;99,67;39,00;47,67;17,33
2020-09-27;20,00;29,00;33,00;6,00;1,00;76,00;28,00;32,00;16,00
2020-10-04;24,00;35,00;22,00;6,00;3,00;88,00;36,00;40,00;20,00
2020-10-11;21,00;31,00;17,00;6,00;5,00;67,20;12,60;37,80;16,80
2020-10-18;23,00;16,00;16,00;3,00;2,00;46,00;23,00;30,67;15,33
2020-10-25;10,00;18,00;10,00;3,00;2,00;45,00;25,00;30,00;15,00
2020-11-01;9,00;10,00;3,00;2,00;1,00;31,50;18,00;22,50;13,50
2020-11-08;10,00;23,00;8,00;1,00;1,00;35,00;20,00;35,00;20,00
2020-11-15;10,00;22,00;10,00;2,00;1,00;35,00;20,00;30,00;15,00
2020-11-22;11,00;20,00;15,00;2,00;1,00;25,67;18,33;14,67;11,00
2020-11-29;12,00;19,00;10,00;2,00;3,00;28,00;20,00;20,00;12,00
2020-12-06;10,00;21,00;15,00;2,00;1,00;40,00;25,00;25,00;15,00
2020-12-13;13,00;29,00;8,00;2,00;3,00;30,33;13,00;26,00;13,00
2020-12-20;13,00;16,00;6,00;2,00;1,00;26,00;17,33;26,00;17,33
2020-12-27;20,00;28,00;11,00;2,00;3,00;28,00;16,00;20,00;12,00
2021-01-03;14,00;22,00;10,00;3,00;0,50;24,50;17,50;17,50;14,00
2021-01-10;14,00;17,00;12,00;3,00;2,00;32,67;28,00;23,33;14,00
2021-01-17;14,00;23,00;8,00;3,00;1,00;37,33;23,33;23,33;14,00
2021-01-24;12,00;33,00;11,00;1,00;2,00;36,00;20,00;20,00;16,00
2021-01-31;22,00;27,00;8,00;2,00;3,00;44,00;22,00;17,60;17,60
2021-02-07;21,00;25,00;10,00;3,00;3,00;58,80;29,40;16,80;16,80
2021-02-14;24,00;44,00;7,00;3,00;2,00;40,00;40,00;20,00;16,00
2021-02-21;27,00;31,00;8,00;3,00;2,00;42,43;30,86;27,00;15,43
2021-02-28;23,00;32,00;10,00;2,00;2,00;34,50;26,83;26,83;15,33
2021-03-07;22,00;44,00;10,00;2,00;3,00;35,20;39,60;35,20;17,60
2021-03-14;22,00;24,00;17,00;3,00;2,00;36,67;25,67;29,33;14,67
2021-03-21;21,00;29,00;10,00;2,00;4,00;37,80;46,20;37,80;16,80
2021-03-28;18,00;30,00;13,00;3,00;2,00;32,40;36,00;25,20;14,40
2021-04-04;14,00;46,00;16,00;2,00;0,00;56,00;51,33;42,00;23,33
2021-04-11;17,00;32,00;17,00;4,00;3,00;55,25;51,00;34,00;21,25
2021-04-18;23,00;39,00;19,00;2,00;3,00;65,17;61,33;38,33;23,00
2021-04-25;33,00;45,00;15,00;3,00;1,00;78,38;61,88;41,25;24,75
2021-05-02;42,00;47,00;28,00;3,00;2,00;105,00;58,80;46,20;25,20
2021-05-09;44,00;41,00;15,00;4,00;3,00;104,00;64,00;52,00;28,00
2021-05-16;40,00;47,00;18,00;5,00;3,00;128,00;48,00;52,00;24,00
2021-05-23;42,00;43,00;28,00;7,00;3,00;142,80;67,20;71,40;25,20
2021-05-30;39,00;55,00;29,00;9,00;3,00;175,50;50,70;62,40;23,40
2021-06-06;44,00;54,00;27,00;8,00;4,00;180,00;68,00;64,00;20,00
2021-06-13;37,00;67,00;20,00;10,00;5,00;213,78;45,22;49,33;24,67
2021-06-20;43,00;61,00;33,00;10,00;6,00;211,09;58,64;58,64;19,55
2021-06-27;42,00;52,00;20,00;8,00;4,00;226,80;50,40;58,80;25,20
2021-07-04;43,00;75,00;42,00;13,00;7,00;234,55;62,55;54,73;19,55
2021-07-11;48,00;89,00;30,00;12,00;3,00;236,00;72,00;68,00;24,00
2021-07-18;53,00;83,00;41,00;12,00;11,00;281,31;77,46;73,38;20,38
